"Numri i studentëve në nivelin master në Universitetin e Pejës Haxhi Zeka, 2015-2018"

"viti";"programi i studimit";"Viti i  I Gjithsej";"Viti i  I Femra";"Viti i  I Meshkuj";"Viti i II Gjithsej";"Viti i II Femra";"Viti i II Meshkuj"
"2017/2018";"Administrim biznesi";:;:;:;:;:;:
"2017/2018";"Administrim biznesi (gjuhë boshnjake)";:;:;:;:;:;:
"2017/2018";"Fakulteti Juridik";227;106;121;-;-;-
"2017/2018";"Fakulteti i Biznesit";443;264;179;923;550;373
"2017/2018";"Kontabilitet dhe financa në biznes";:;:;:;:;:;:
"2017/2018";"Menaxhimi i burimeve njerëzore";:;:;:;:;:;:
"2017/2018";"Kushtetues . Administrativ";:;:;:;:;:;:
"2017/2018";"Fakulteti i Menaxhimit në Turizëm, Hotelieri dhe Mjedis";48;20;28;58;29;29
"2017/2018";"Juridiko . Penal";:;:;:;:;:;:
"2017/2018";"Menaxhimi i mjedisit";:;:;:;:;:;:
"2017/2018";"Gjithsej";718;390;328;981;579;402
